elevation,tree_number,species,ph.su,EC.ds.m,ca.ppm,mg.ppm,na.ppm,k.ppm,zn.ppm,fe.ppm,mn.ppm,cu.ppm,ni.ppm,po4.p.ppm,so4.s.ppm,b.ppm,esp,cec.meq.100g,topography,group,northing,easting,zone,p.c,annual.prec.cm,average.temp.warm.quarter,average.temp.cold.quarter
2370,LB009,Pinus ponderosa,5.1,0.19,980,160,18,120,1.8,170,48,2.8,0.7,29,21,0.43,1.2,6.6,Convergent,High elev.,3588086.1,524456.4,12,p.f,720,18.6,3.3
2370,LB010,Pinus ponderosa,5.5,0.19,1300,160,18,180,3.4,200,47,9.9,0.67,30,2.1,0.65,0.9,8.4,Convergent,High elev.,3588086.1,524456.4,12,p.f,720,18.6,3.3
2421,LB045,Pinus ponderosa,5.1,0.17,1000,130,19,260,3.8,130,61,5.6,0.54,6.2,29,0.69,1.2,6.8,Convergent,High elev.,3587735.3,524701.7,12,p.f,720,18.6,3.3
2421,LB043,Pinus ponderosa,5.5,0.1,910,190,15,260,2,54,33,2.7,0.3,6.2,16,0.69,0.9,6.9,Divergent,High elev.,3587735.3,524701.7,12,p.f,720,18.6,3.3
2421,LB044,Pinus ponderosa,5.4,0,1100,150,9.3,260,2.2,82,45,5.1,0.38,6.2,21,0.89,0.5,7.5,Convergent,High elev.,3587735.3,524701.7,12,p.f,720,18.6,3.3
2425,LB001,Pseudotsuga menziesii,7,0.21,3600,290,12,630,4.8,58,29,3.7,0.3,20,25,1.9,0.2,22.1,Convergent,High elev.,3587327.6,525248.9,12,p.f.md,692,19.3,3.7
2425,LB006,Pinus ponderosa,4.6,0.1,700,91,10,130,4.8,150,66,4.4,0.47,7.2,23,0.52,0.9,4.6,Divergent,High elev.,3587327.6,525248.9,12,p.f.md,692,19.3,3.7
2425,LB052,Pinus ponderosa,4.7,0.06,360,78,10,120,2.6,120,26,2.2,0.27,6.2,18,0.33,1.6,2.8,Convergent,High elev.,3587327.6,525248.9,12,p.f.md,692,19.3,3.7
2425,LB003,Pseudotsuga menziesii,6.2,0.11,1600,140,10,210,4.1,88,32,2.3,0.32,7.8,18,0.64,0.4,9.7,Divergent,High elev.,3587327.6,525248.9,12,p.f.md,692,19.3,3.7
2425,LB054,Pinus ponderosa,4.6,0.06,320,56,12,64,2.6,110,19,3.2,0.3,6.2,19,0.3,2.3,2.3,Convergent,High elev.,3587327.6,525248.9,12,p.f.md,692,19.3,3.7
2425,LB053,Pinus ponderosa,5.3,0.08,650,100,15,120,1.8,70,22,2.3,0.3,6.3,19,0.35,1.5,4.5,Convergent,High elev.,3587327.6,525248.9,12,p.f.md,692,19.3,3.7
1809,LB028,Pinus ponderosa,5.7,0.07,650,150,14,150,2.5,26,35,0.99,0.06,6.3,17,0.48,1.2,4.9,Divergent,Low elev.,3581941,529237,12,o.p,617,21.2,5.2
