tree_number,endophyte_collection_date,elevation.m,site,species,topography,dbh.cm,growth.noted.2.7.15,abundance,species_richness,s,n,fishers_alpha
LB055,11/2/14,2425,Rose Canyon Rd.,Pinus Ponderosa,Convergent,47.0144,2,0.020833333,1,1,2,0.81
LB056,11/2/14,2425,Rose Canyon Rd.,Pinus Ponderosa,Divergent,62.6116,17,0.177083333,5,5,13,2.91
LB057,11/2/14,2201,Rose Canyon Rd.,Pinus Ponderosa,Divergent,46.8552,6,0.0625,4,4,6,5.34
LB058,11/2/14,2201,Rose Canyon Rd.,Pinus Ponderosa,Convergent,47.3963,1,0.010416667,1,1,1,99
LB059,11/2/14,2201,Rose Canyon Rd.,Pinus Ponderosa,Divergent,47.2372,17,0.177083333,4,4,15,1.84
LB060,11/2/14,2201,Rose Canyon Rd.,Pinus Ponderosa,Convergent,65.4763,10,0.104166667,4,4,8,3.24
LB061,11/2/14,2119,Pullout south of Willow Canyon Rd.,Pinus Ponderosa,Convergent,64.7442,3,0.03125,2,2,3,2.67
LB062,11/2/14,2119,Pullout south of Willow Canyon Rd.,Pinus Ponderosa,Convergent,66.3676,5,0.052083333,1,1,1,99
LB063,11/2/14,2119,Pullout south of Willow Canyon Rd.,Pinus Ponderosa,Convergent,82.0603,4,0.041666667,4,4,4,396
LB064,11/2/14,2119,Pullout south of Willow Canyon Rd.,Pinus Ponderosa,Divergent,60.3834,2,0.020833333,1,1,2,0.81
LB065,11/2/14,2119,Pullout south of Willow Canyon Rd.,Pinus Ponderosa,Divergent,66.0493,1,0.010416667,1,1,1,99
LB066,11/2/14,2119,Pullout south of Willow Canyon Rd.,Pinus Ponderosa,Divergent,62.5797,2,0.020833333,2,2,2,198
